Defect Type,defect_count,percent_of_records,cumulative_percent
solder bridge,150,23.8095,23.8095
lifted component,144,22.8571,46.6667
pin hole,140,22.2222,68.8889
component broken,100,15.873,84.7619
pin damaged,13,2.0635,86.8254
damaged/ lifted pad,12,1.9048,88.7302
insufficient solder,12,1.9048,90.6349
damaged component,11,1.746,92.381
long terminals,11,1.746,94.127
wrong component,8,1.2698,95.3968
defective component,7,1.1111,96.5079
missing/unknown,7,1.1111,97.619
trace open,5,0.7937,98.4127
wrong configuration,5,0.7937,99.2063
missing component,3,0.4762,99.6825
bad modules,2,0.3175,100.0
